"valor","tipo","data-expedição","data-envio","fk-func"
"576861184-66","CPF","2020-04-01","2021-03-30","169"
"3463629-3","RG","2009-07-26","2021-02-25","169"
"533746615647","Titulo","2019-05-24","2021-02-18","169"
"451434422-64","CPF","2006-10-07","2021-02-26","170"
"3225354-8","RG","2010-01-08","2021-03-05","170"
"344617547324","Titulo","2006-04-06","2021-01-28","170"
"926754457-95","CPF","2012-11-17","2021-02-05","171"
"2434544-3","RG","2005-11-22","2021-04-15","171"
"556357167576","Titulo","2014-09-26","2021-01-23","171"
"742272545-69","CPF","2007-11-22","2021-02-17","172"
"4811448-6","RG","2006-12-31","2021-01-08","172"
"284973869279","Titulo","2016-12-25","2021-04-05","172"
"944244642-61","CPF","2007-06-21","2021-04-28","173"
"5314824-5","RG","2012-11-29","2021-03-30","173"
"843538352385","Titulo","2012-04-03","2021-01-25","173"
"357228213-65","CPF","2010-01-02","2021-01-24","174"
"9742666-7","RG","2014-07-25","2021-01-11","174"
"719983649877","Titulo","2016-11-16","2021-02-09","174"
"816476485-85","CPF","2015-05-22","2021-02-01","175"
"3993649-8","RG","2013-04-18","2021-03-01","175"
"488385642214","Titulo","2016-05-31","2021-02-01","175"
"477475331-69","CPF","2005-11-09","2021-03-29","176"
"1997757-6","RG","2005-03-15","2021-03-07","176"
"717853748655","Titulo","2020-08-01","2021-03-25","176"
"848146532-66","CPF","2011-09-27","2021-03-15","177"
"4583645-9","RG","2014-07-12","2021-01-22","177"
"848222848443","Titulo","2012-08-07","2021-01-27","177"
"747884622-22","CPF","2005-05-12","2021-02-02","178"
"1132262-7","RG","2020-08-16","2021-03-27","178"
"989377462127","Titulo","2009-12-15","2021-02-12","178"
"857685451-66","CPF","2007-07-03","2021-02-20","179"
"3479579-4","RG","2019-03-02","2021-01-04","179"
"643866468894","Titulo","2019-01-03","2021-02-14","179"
"245734475-25","CPF","2006-08-19","2021-04-20","180"
"5876473-3","RG","2005-01-14","2021-02-16","180"
"672968863778","Titulo","2012-01-12","2021-04-13","180"
"642561839-22","CPF","2012-03-20","2021-03-27","181"
"4377743-4","RG","2009-07-08","2021-04-02","181"
"575666263675","Titulo","2016-12-15","2021-04-11","181"
"578798377-58","CPF","2007-03-18","2021-03-05","182"
"4539473-5","RG","2011-10-02","2021-03-29","182"
"243867694484","Titulo","2005-10-22","2021-01-04","182"
"689542633-55","CPF","2010-01-03","2021-04-07","183"
"3223375-6","RG","2007-08-11","2021-04-07","183"
"382722356455","Titulo","2010-01-22","2021-04-11","183"
"863565668-28","CPF","2010-05-22","2021-04-11","184"
"9375232-2","RG","2007-09-13","2021-03-18","184"
"766239428846","Titulo","2012-08-17","2021-01-19","184"
"684532432-66","CPF","2010-03-29","2021-04-21","185"
"3667535-5","RG","2014-01-08","2021-02-24","185"
"924566173852","Titulo","2010-08-29","2021-03-31","185"
"573477325-62","CPF","2005-01-06","2021-01-21","186"
"6795941-1","RG","2016-04-04","2021-04-28","186"
"445812633864","Titulo","2011-10-15","2021-03-01","186"
"256478547-34","CPF","2007-01-17","2021-04-20","187"
"9453284-8","RG","2014-12-11","2021-04-02","187"
"161952682985","Titulo","2018-05-28","2021-03-29","187"
"975833287-18","CPF","2020-09-11","2021-04-10","188"
"3541642-1","RG","2011-05-05","2021-02-10","188"
"544195155581","Titulo","2008-03-23","2021-01-07","188"
"529215342-37","CPF","2009-06-25","2021-01-24","189"
"2633256-7","RG","2019-10-30","2021-03-09","189"
"618347298224","Titulo","2006-10-11","2021-02-27","189"
"734229686-28","CPF","2005-06-24","2021-04-10","190"
"4266578-9","RG","2011-06-11","2021-02-12","190"
"298947414956","Titulo","2005-03-01","2021-03-03","190"
"757677475-82","CPF","2011-01-10","2021-03-20","191"
"1368527-1","RG","2014-12-01","2021-03-11","191"
"211237295458","Titulo","2005-11-24","2021-01-11","191"
"894543765-37","CPF","2013-04-27","2021-01-21","192"
"5488334-5","RG","2013-10-15","2021-02-28","192"
"829695891286","Titulo","2017-05-22","2021-04-04","192"
"333226535-51","CPF","2011-11-04","2021-01-07","193"
"4622343-8","RG","2009-12-20","2021-02-10","193"
"652742888858","Titulo","2010-02-11","2021-02-10","193"
"725777994-96","CPF","2010-02-19","2021-01-12","194"
"2273942-2","RG","2008-06-25","2021-04-19","194"
"929362153487","Titulo","2020-09-30","2021-01-01","194"
"543368522-27","CPF","2020-05-13","2021-04-22","195"
"4577569-6","RG","2011-08-08","2021-02-20","195"
"289683674865","Titulo","2007-06-25","2021-01-01","195"
"895384595-18","CPF","2007-02-24","2021-02-06","196"
"3226818-8","RG","2016-01-26","2021-03-22","196"
"424534346182","Titulo","2010-03-09","2021-03-21","196"
"681854368-68","CPF","2006-04-23","2021-01-02","197"
"3843248-8","RG","2013-09-11","2021-04-03","197"
"733634287167","Titulo","2012-07-05","2021-04-22","197"
"517754353-44","CPF","2017-02-01","2021-01-07","198"
"8872534-2","RG","2012-02-09","2021-04-02","198"
"466638732524","Titulo","2014-08-17","2021-01-21","198"
"658379697-92","CPF","2017-08-13","2021-01-16","199"
"3275778-8","RG","2017-11-11","2021-04-24","199"
"562583862574","Titulo","2009-02-06","2021-01-31","199"
"424298564-46","CPF","2005-11-30","2021-01-11","200"
"6231564-7","RG","2017-07-01","2021-03-05","200"
"574796885635","Titulo","2019-02-03","2021-02-23","200"
"235472444-76","CPF","2008-01-02","2021-03-09","201"
"4464163-6","RG","2010-10-24","2021-04-21","201"
"849812732276","Titulo","2010-10-14","2021-03-22","201"
"722592671-16","CPF","2017-11-25","2021-05-02","202"
"5929524-8","RG","2010-09-22","2021-04-30","202"
"263347286387","Titulo","2017-07-11","2021-01-29","202"
"383746765-22","CPF","2018-05-30","2021-01-08","203"
"9742575-5","RG","2011-08-24","2021-04-04","203"
"388278677445","Titulo","2005-12-02","2021-03-25","203"
"972158824-19","CPF","2018-04-12","2021-01-01","204"
"2548271-6","RG","2010-04-08","2021-04-11","204"
"776531585755","Titulo","2010-03-31","2021-01-05","204"
"662466444-87","CPF","2007-04-23","2021-02-10","205"
"3292272-1","RG","2018-09-13","2021-02-11","205"
"562285572162","Titulo","2008-01-30","2021-04-28","205"
"236263546-63","CPF","2008-11-08","2021-04-21","206"
"6571667-4","RG","2008-05-21","2021-03-20","206"
"557252635866","Titulo","2012-11-03","2021-04-27","206"
"246648883-55","CPF","2018-03-24","2021-01-03","207"
"6373285-5","RG","2014-05-26","2021-03-10","207"
"662376686727","Titulo","2017-07-10","2021-01-25","207"
"465633752-95","CPF","2007-08-22","2021-01-27","208"
"7224612-3","RG","2016-07-23","2021-02-22","208"
"245582445187","Titulo","2020-08-31","2021-04-19","208"
"944725736-58","CPF","2009-09-11","2021-03-10","209"
"1668662-7","RG","2009-11-12","2021-03-25","209"
"252324514831","Titulo","2010-01-15","2021-02-03","209"
"546845482-46","CPF","2020-03-29","2021-01-29","210"
"6278722-5","RG","2012-12-06","2021-04-11","210"
"663459336217","Titulo","2014-10-16","2021-04-02","210"
"378214594-48","CPF","2018-05-29","2021-01-07","211"
"5337172-6","RG","2005-09-20","2021-03-16","211"
"217776513468","Titulo","2007-07-13","2021-04-03","211"
"434894863-87","CPF","2015-06-07","2021-01-28","212"
"3477812-6","RG","2011-11-05","2021-02-06","212"
"833115328926","Titulo","2011-06-07","2021-01-21","212"
"865578988-27","CPF","2015-04-23","2021-03-25","213"
"2267878-6","RG","2007-05-23","2021-03-05","213"
"321578737169","Titulo","2014-12-15","2021-02-04","213"
"483749956-44","CPF","2020-05-01","2021-03-17","214"
"9468677-1","RG","2009-01-04","2021-02-03","214"
"722545773272","Titulo","2016-01-28","2021-02-17","214"
"819734629-46","CPF","2017-01-21","2021-02-01","215"
"8288696-2","RG","2016-07-18","2021-03-08","215"
"912564458992","Titulo","2005-07-21","2021-03-23","215"
"193353354-83","CPF","2010-11-08","2021-04-30","216"
"2354142-8","RG","2018-10-12","2021-02-06","216"
"621878114465","Titulo","2006-03-24","2021-03-01","216"
"848338846-57","CPF","2008-08-11","2021-04-02","217"
"8231698-6","RG","2010-06-30","2021-03-20","217"
"125829987142","Titulo","2011-11-22","2021-03-07","217"
"778353765-28","CPF","2020-09-02","2021-05-01","218"
"1272113-6","RG","2019-11-24","2021-01-29","218"
"882126562261","Titulo","2007-08-08","2021-03-16","218"
"124223874-25","CPF","2007-10-22","2021-04-22","219"
"2945368-8","RG","2013-12-11","2021-02-22","219"
"924872543483","Titulo","2019-07-29","2021-01-01","219"
"332864938-31","CPF","2008-01-21","2021-01-03","220"
"5678841-3","RG","2015-06-17","2021-04-26","220"
"596524562473","Titulo","2007-10-03","2021-01-07","220"
"541769857-78","CPF","2017-02-23","2021-01-11","221"
"6455576-4","RG","2011-09-02","2021-02-21","221"
"293881444299","Titulo","2016-04-02","2021-02-07","221"
"388565677-55","CPF","2017-10-05","2021-02-28","222"
"7614343-8","RG","2009-11-26","2021-04-04","222"
"858821712534","Titulo","2014-11-17","2021-04-13","222"
"443226425-87","CPF","2006-02-28","2021-01-24","223"
"1742339-6","RG","2007-11-01","2021-01-30","223"
"436575488421","Titulo","2017-11-28","2021-02-01","223"
"632256893-73","CPF","2012-01-07","2021-04-15","224"
"7484477-6","RG","2016-05-28","2021-02-08","224"
"585477574439","Titulo","2014-10-31","2021-02-17","224"
"514466383-78","CPF","2009-08-05","2021-01-24","225"
"9692341-6","RG","2008-07-26","2021-01-20","225"
"773674262573","Titulo","2013-08-25","2021-01-10","225"
"455245112-27","CPF","2014-09-19","2021-04-01","226"
"8962244-5","RG","2018-10-22","2021-03-29","226"
"727683658122","Titulo","2014-11-19","2021-01-28","226"
"466882723-54","CPF","2010-09-30","2021-01-21","227"
"5533373-3","RG","2011-12-23","2021-04-03","227"
"577468652355","Titulo","2013-12-16","2021-01-20","227"
"273238511-28","CPF","2010-11-18","2021-03-18","228"
"3786566-1","RG","2017-03-01","2021-03-05","228"
"558167722421","Titulo","2005-03-17","2021-02-07","228"
"488524686-86","CPF","2011-01-03","2021-02-17","229"
"3363658-8","RG","2007-03-04","2021-01-27","229"
"556537241752","Titulo","2012-09-29","2021-04-04","229"
"455211746-73","CPF","2015-01-01","2021-02-11","230"
"4754593-8","RG","2013-05-07","2021-01-28","230"
"523765677275","Titulo","2015-07-19","2021-02-27","230"
"685664247-63","CPF","2009-04-02","2021-05-01","231"
"6321488-3","RG","2012-07-27","2021-03-30","231"
"865882623872","Titulo","2018-02-21","2021-01-08","231"
"276589667-48","CPF","2009-03-30","2021-03-12","232"
"9124777-2","RG","2009-07-14","2021-02-15","232"
"943157629273","Titulo","2020-05-01","2021-02-06","232"
"361182132-57","CPF","2018-08-27","2021-02-28","233"
"3768881-6","RG","2011-07-23","2021-03-28","233"
"754975477265","Titulo","2010-10-07","2021-01-03","233"
"554285846-84","CPF","2009-03-02","2021-02-05","234"
"3313748-6","RG","2011-07-27","2021-04-30","234"
"874328627222","Titulo","2005-10-25","2021-03-01","234"
"516817186-58","CPF","2018-09-01","2021-02-12","235"
"6883343-8","RG","2016-01-16","2021-02-27","235"
"259265736192","Titulo","2009-12-10","2021-02-19","235"
"565845554-87","CPF","2020-11-15","2021-02-22","236"
"5585625-6","RG","2005-06-09","2021-02-13","236"
"263526264687","Titulo","2007-11-11","2021-02-02","236"
"544672584-43","CPF","2012-06-29","2021-04-10","237"
"3885696-5","RG","2010-01-15","2021-05-02","237"
"353192539859","Titulo","2016-04-20","2021-03-21","237"
"368343732-37","CPF","2009-09-18","2021-03-23","238"
"3173729-8","RG","2005-02-11","2021-03-29","238"
"734447115536","Titulo","2015-03-23","2021-03-23","238"
"229336462-74","CPF","2018-05-10","2021-04-30","239"
"5497526-9","RG","2015-09-02","2021-03-24","239"
"235644675346","Titulo","2006-12-07","2021-04-26","239"
"281666567-86","CPF","2015-05-28","2021-01-31","240"
"7372637-9","RG","2013-05-15","2021-04-02","240"
"824163562683","Titulo","2006-12-17","2021-01-31","240"
"862729745-41","CPF","2015-07-26","2021-04-24","241"
"3183225-3","RG","2005-06-04","2021-03-07","241"
"744394262381","Titulo","2013-10-07","2021-01-22","241"
"117739628-35","CPF","2008-01-19","2021-03-30","242"
"7953737-7","RG","2014-07-26","2021-03-11","242"
"662656372226","Titulo","2018-03-19","2021-04-30","242"
"254487687-56","CPF","2016-03-28","2021-02-23","243"
"4133428-4","RG","2020-01-08","2021-04-30","243"
"256368276544","Titulo","2005-07-29","2021-02-23","243"
"753725937-78","CPF","2008-11-17","2021-03-10","244"
"8123728-4","RG","2019-03-24","2021-03-16","244"
"577512675371","Titulo","2013-09-10","2021-01-10","244"
"874673517-72","CPF","2016-06-08","2021-03-30","245"
"4436233-7","RG","2010-09-03","2021-05-02","245"
"292883366461","Titulo","2015-09-19","2021-02-19","245"
"347553875-93","CPF","2019-01-06","2021-04-26","246"
"7456598-6","RG","2019-05-26","2021-04-03","246"
"318222269752","Titulo","2013-03-20","2021-04-07","246"
"894832521-34","CPF","2020-02-11","2021-02-23","247"
"5246839-8","RG","2008-07-29","2021-02-17","247"
"623625854674","Titulo","2007-07-31","2021-02-15","247"
"671921853-85","CPF","2006-11-28","2021-01-15","248"
"8144778-2","RG","2018-01-18","2021-03-09","248"
"891425752637","Titulo","2019-09-02","2021-02-01","248"
"575345171-24","CPF","2014-10-16","2021-03-19","249"
"6241483-7","RG","2019-04-12","2021-03-25","249"
"287752283224","Titulo","2015-10-15","2021-03-18","249"
"468757333-23","CPF","2006-12-11","2021-02-27","250"
"7345668-1","RG","2009-01-05","2021-02-10","250"
"863572563588","Titulo","2017-03-29","2021-03-21","250"
"335794374-88","CPF","2011-01-16","2021-01-17","251"
"7913131-5","RG","2013-10-06","2021-04-15","251"
"191697626551","Titulo","2019-06-01","2021-02-18","251"
"487455353-51","CPF","2013-08-21","2021-02-27","252"
"2144427-5","RG","2014-04-25","2021-04-21","252"
"387381246233","Titulo","2009-05-06","2021-03-18","252"
"657965388-28","CPF","2011-08-08","2021-01-20","253"
"7672283-6","RG","2012-12-14","2021-04-15","253"
"463527827283","Titulo","2013-03-25","2021-03-15","253"
"846458332-86","CPF","2008-07-08","2021-04-13","254"
"4432472-2","RG","2015-10-05","2021-02-21","254"
"856891173274","Titulo","2016-10-14","2021-03-03","254"
"659592264-62","CPF","2010-01-01","2021-01-19","255"
"7686637-6","RG","2015-10-15","2021-01-29","255"
"766544627437","Titulo","2014-06-05","2021-02-07","255"
"843254558-33","CPF","2010-08-13","2021-03-09","256"
"2473994-6","RG","2015-11-16","2021-04-15","256"
"974849752848","Titulo","2009-08-22","2021-04-22","256"
"296655961-87","CPF","2018-05-27","2021-01-26","257"
"6462871-8","RG","2019-06-24","2021-03-25","257"
"226994663544","Titulo","2012-08-30","2021-03-06","257"
"225857456-85","CPF","2006-10-10","2021-02-08","258"
"8463734-3","RG","2008-06-22","2021-01-31","258"
"328685985237","Titulo","2019-11-15","2021-02-01","258"
"164173281-87","CPF","2013-06-18","2021-04-26","259"
"5333523-8","RG","2009-05-21","2021-01-30","259"
"937393834766","Titulo","2014-07-01","2021-03-25","259"
"834791385-65","CPF","2010-06-26","2021-02-20","260"
"6923375-1","RG","2005-12-12","2021-01-17","260"
"575245238422","Titulo","2006-02-12","2021-02-28","260"
"359451644-16","CPF","2008-06-29","2021-03-31","261"
"6738237-4","RG","2006-03-03","2021-03-22","261"
"276417736478","Titulo","2018-06-24","2021-01-04","261"
"265814878-38","CPF","2014-02-01","2021-03-01","262"
"5454284-3","RG","2008-04-29","2021-01-24","262"
"468334575942","Titulo","2017-08-21","2021-01-23","262"
"535927463-36","CPF","2006-06-06","2021-04-17","263"
"7491333-2","RG","2019-01-30","2021-04-18","263"
"951956517773","Titulo","2010-09-18","2021-03-03","263"
"952554491-89","CPF","2007-12-29","2021-04-17","264"
"6885872-3","RG","2019-09-24","2021-01-12","264"
"385765155417","Titulo","2005-05-24","2021-03-09","264"
"646784663-73","CPF","2014-03-28","2021-04-07","265"
"1857564-5","RG","2014-12-31","2021-04-26","265"
"718844422782","Titulo","2014-10-15","2021-03-19","265"
"367531768-35","CPF","2008-11-07","2021-04-10","266"
"2328368-3","RG","2017-02-07","2021-02-21","266"
"689394832686","Titulo","2011-09-20","2021-03-06","266"
"446154387-34","CPF","2020-07-31","2021-02-04","267"
"7443858-5","RG","2011-02-17","2021-02-16","267"
"768136685729","Titulo","2020-08-12","2021-02-01","267"
"524671887-28","CPF","2015-09-17","2021-01-01","268"
"4514632-8","RG","2018-02-23","2021-02-10","268"
"135525893388","Titulo","2010-02-12","2021-03-19","268"
"538735978-88","CPF","2018-09-14","2021-01-02","269"
"8422177-8","RG","2006-08-19","2021-02-02","269"
"437197684181","Titulo","2006-01-24","2021-04-17","269"
"382656332-62","CPF","2010-03-18","2021-02-09","270"
"9447147-7","RG","2006-09-02","2021-04-24","270"
"751745664819","Titulo","2006-03-25","2021-02-09","270"
"389255826-83","CPF","2010-03-12","2021-04-17","271"
"4248881-6","RG","2017-06-29","2021-03-29","271"
"264444834887","Titulo","2012-01-14","2021-02-25","271"
"523672735-94","CPF","2006-04-21","2021-01-21","272"
"3134322-8","RG","2011-10-23","2021-01-13","272"
"288853722358","Titulo","2016-04-25","2021-02-20","272"
"525228374-63","CPF","2016-07-21","2021-04-05","273"
"9958666-5","RG","2013-03-24","2021-03-29","273"
"434656413972","Titulo","2015-11-05","2021-01-01","273"
"353565758-28","CPF","2016-07-27","2021-04-29","274"
"8236694-9","RG","2012-08-11","2021-02-07","274"
"866695428448","Titulo","2011-07-16","2021-04-30","274"
"466261557-43","CPF","2008-04-12","2021-02-19","275"
"1788362-7","RG","2018-03-08","2021-04-08","275"
"776444476445","Titulo","2009-09-22","2021-02-26","275"
"812627253-97","CPF","2011-11-19","2021-02-16","276"
"7374766-3","RG","2011-10-15","2021-04-16","276"
"736466737356","Titulo","2010-07-30","2021-01-05","276"
"825845236-66","CPF","2019-08-20","2021-01-16","277"
"7266635-8","RG","2007-08-11","2021-01-17","277"
"715526354576","Titulo","2018-12-03","2021-01-27","277"
"267363353-62","CPF","2008-01-30","2021-04-09","278"
"1622145-2","RG","2016-07-12","2021-03-08","278"
"992548596932","Titulo","2018-03-06","2021-02-04","278"
"468715486-33","CPF","2012-06-05","2021-02-08","279"
"7375985-2","RG","2008-12-28","2021-02-26","279"
"643889279588","Titulo","2010-07-03","2021-02-09","279"
"358885149-63","CPF","2010-03-27","2021-01-17","280"
"9544885-7","RG","2019-07-14","2021-01-31","280"
"873465557552","Titulo","2015-11-23","2021-04-27","280"
"538262265-24","CPF","2010-02-27","2021-04-16","281"
"5241465-8","RG","2017-06-01","2021-03-24","281"
"982882781358","Titulo","2016-04-17","2021-04-13","281"
"952844186-18","CPF","2007-05-07","2021-03-07","282"
"5732183-5","RG","2020-02-23","2021-03-12","282"
"256636574759","Titulo","2012-03-21","2021-04-04","282"
"155155628-85","CPF","2007-04-20","2021-03-16","283"
"3285217-9","RG","2006-09-28","2021-02-13","283"
"267672563266","Titulo","2018-12-07","2021-02-02","283"
"537676546-34","CPF","2014-03-25","2021-01-31","284"
"5481365-8","RG","2020-10-24","2021-03-27","284"
"286561433328","Titulo","2006-04-02","2021-03-31","284"
"498457943-37","CPF","2015-07-18","2021-03-09","285"
"3686675-5","RG","2008-09-20","2021-04-12","285"
"271575423384","Titulo","2020-11-05","2021-04-11","285"
"576374996-25","CPF","2014-02-20","2021-03-07","286"
"6636234-4","RG","2020-12-10","2021-01-06","286"
"544367257273","Titulo","2010-10-28","2021-02-14","286"
"523876164-17","CPF","2006-10-05","2021-04-27","287"
"3282458-5","RG","2016-01-22","2021-04-05","287"
"453389745757","Titulo","2009-04-13","2021-02-10","287"
"997282281-19","CPF","2016-10-22","2021-03-06","288"
"6375743-8","RG","2008-12-13","2021-04-03","288"
"798224272952","Titulo","2012-11-12","2021-03-03","288"
"947152323-13","CPF","2014-06-27","2021-01-17","289"
"6671821-8","RG","2010-06-01","2021-03-10","289"
"275388645745","Titulo","2013-04-19","2021-03-25","289"
"748863895-48","CPF","2013-10-20","2021-01-20","290"
"3671667-1","RG","2017-03-12","2021-02-17","290"
"357723538513","Titulo","2010-04-10","2021-03-25","290"
"471244882-32","CPF","2009-04-03","2021-02-12","291"
"8525463-4","RG","2006-01-22","2021-05-01","291"
"446231546368","Titulo","2009-08-24","2021-02-21","291"
"356184442-21","CPF","2007-11-22","2021-01-18","292"
"3378767-6","RG","2019-09-21","2021-03-05","292"
"438743872237","Titulo","2018-02-10","2021-04-25","292"
"925248795-35","CPF","2007-09-10","2021-03-15","293"
"7882345-7","RG","2010-06-17","2021-01-02","293"
"785372566983","Titulo","2008-10-09","2021-01-09","293"
"751874775-87","CPF","2005-09-10","2021-03-30","294"
"7235579-7","RG","2014-08-05","2021-02-17","294"
"732362544779","Titulo","2006-01-23","2021-01-28","294"
"829948759-73","CPF","2017-01-13","2021-03-05","295"
"6982586-6","RG","2019-07-21","2021-02-13","295"
"261487836147","Titulo","2017-03-09","2021-04-17","295"
"154324922-23","CPF","2018-12-09","2021-01-18","296"
"1175472-5","RG","2011-07-13","2021-05-01","296"
"418694989592","Titulo","2018-03-05","2021-03-17","296"
"456622373-92","CPF","2011-04-30","2021-04-23","297"
"8786853-8","RG","2005-02-08","2021-04-10","297"
"824152535528","Titulo","2013-06-20","2021-03-31","297"
"477715225-25","CPF","2006-05-26","2021-02-20","298"
"2824742-2","RG","2016-09-17","2021-02-03","298"
"984949735832","Titulo","2006-04-01","2021-01-25","298"
"564965688-57","CPF","2013-01-16","2021-04-17","299"
"6597344-5","RG","2014-12-27","2021-03-06","299"
"522254724557","Titulo","2006-06-21","2021-01-24","299"
"453168443-87","CPF","2013-04-07","2021-03-02","300"
"9961488-6","RG","2016-03-25","2021-01-14","300"
"367674654856","Titulo","2017-12-18","2021-01-18","300"
"836137745-68","CPF","2014-06-12","2021-01-07","301"
"3357824-9","RG","2014-12-06","2021-01-25","301"
"561129278336","Titulo","2009-12-30","2021-01-30","301"
"716232187-61","CPF","2010-09-09","2021-04-07","302"
"4586257-7","RG","2007-10-20","2021-05-01","302"
"768948641365","Titulo","2014-12-22","2021-04-21","302"
"648523842-31","CPF","2009-01-25","2021-05-01","303"
"6717975-4","RG","2016-08-07","2021-04-13","303"
"686162833791","Titulo","2014-06-10","2021-02-23","303"
"428461281-45","CPF","2011-10-07","2021-04-13","304"
"8231183-4","RG","2009-02-10","2021-01-07","304"
"654323417824","Titulo","2018-06-19","2021-03-26","304"
"788244683-14","CPF","2019-01-29","2021-01-18","305"
"7822172-3","RG","2012-12-23","2021-01-18","305"
"581596562728","Titulo","2017-09-25","2021-03-06","305"
"488127668-63","CPF","2013-10-22","2021-03-19","306"
"4338874-6","RG","2019-02-06","2021-03-20","306"
"422689548823","Titulo","2015-03-28","2021-01-04","306"
"439183733-48","CPF","2006-08-11","2021-04-04","307"
"9248375-4","RG","2019-11-24","2021-05-01","307"
"786328662481","Titulo","2018-10-08","2021-02-10","307"
"657726369-82","CPF","2012-08-30","2021-03-14","308"
"2335473-6","RG","2005-07-01","2021-04-30","308"
"777531654744","Titulo","2016-08-19","2021-04-23","308"
"663532712-23","CPF","2019-03-14","2021-04-22","309"
"8674326-7","RG","2010-04-09","2021-02-05","309"
"858844289261","Titulo","2016-02-16","2021-03-18","309"
"487374786-42","CPF","2007-02-07","2021-01-03","310"
"3742187-3","RG","2016-06-21","2021-01-08","310"
"759787864584","Titulo","2006-06-02","2021-02-12","310"
"799494667-22","CPF","2008-10-18","2021-01-08","311"
"7526257-3","RG","2019-04-21","2021-01-14","311"
"287874594548","Titulo","2020-06-28","2021-01-31","311"
"877756787-57","CPF","2005-05-12","2021-01-24","312"
"4371121-9","RG","2013-02-22","2021-03-13","312"
"548651726975","Titulo","2018-02-14","2021-03-09","312"
"283187161-25","CPF","2007-08-13","2021-03-04","313"
"2437785-8","RG","2005-08-01","2021-02-22","313"
"954631428756","Titulo","2005-10-19","2021-01-12","313"
"689783453-56","CPF","2011-02-16","2021-02-28","314"
"4451778-5","RG","2016-05-08","2021-03-31","314"
"947666755578","Titulo","2020-08-21","2021-02-09","314"
"498854398-86","CPF","2020-05-24","2021-02-15","315"
"3971553-4","RG","2018-04-24","2021-02-24","315"
"357921488318","Titulo","2011-04-20","2021-02-09","315"
"274433725-22","CPF","2010-09-25","2021-04-10","316"
"5472558-2","RG","2006-09-21","2021-02-18","316"
"748276553528","Titulo","2005-12-25","2021-04-14","316"
"714121757-51","CPF","2007-12-15","2021-04-28","317"
"2852531-6","RG","2018-04-10","2021-03-20","317"
"926319483823","Titulo","2019-07-08","2021-02-16","317"
"223675194-44","CPF","2013-01-25","2021-01-22","318"
"2467342-5","RG","2012-05-03","2021-03-13","318"
"283572897657","Titulo","2013-07-31","2021-03-11","318"
"376382288-33","CPF","2013-06-04","2021-03-23","319"
"8236783-5","RG","2009-07-15","2021-01-07","319"
"398382837216","Titulo","2016-07-03","2021-03-18","319"
"946716826-73","CPF","2006-07-21","2021-01-12","320"
"5447328-4","RG","2013-03-01","2021-03-30","320"
"725736763571","Titulo","2020-11-15","2021-04-26","320"
"657964842-82","CPF","2020-02-24","2021-03-06","321"
"3542417-4","RG","2016-05-29","2021-04-26","321"
"392751578325","Titulo","2016-03-26","2021-04-02","321"
"896523278-79","CPF","2018-01-26","2021-01-14","322"
"8662235-7","RG","2005-08-17","2021-01-19","322"
"827874641533","Titulo","2018-03-29","2021-03-31","322"
"457527653-63","CPF","2006-04-08","2021-02-22","323"
"5946665-9","RG","2013-07-27","2021-02-17","323"
"571377424538","Titulo","2014-10-25","2021-04-21","323"
"855169232-73","CPF","2005-09-20","2021-04-11","324"
"4595646-2","RG","2018-01-17","2021-03-22","324"
"285463833267","Titulo","2016-12-15","2021-05-01","324"
"919815546-57","CPF","2012-04-20","2021-01-30","325"
"5893658-7","RG","2008-01-23","2021-02-03","325"
"254994627743","Titulo","2012-03-09","2021-02-18","325"
"671688238-46","CPF","2009-01-31","2021-01-03","326"
"4895575-8","RG","2016-02-16","2021-04-25","326"
"278552376648","Titulo","2012-01-14","2021-02-15","326"
"559434826-44","CPF","2009-11-16","2021-02-01","327"
"9424585-3","RG","2011-02-03","2021-04-26","327"
"345353568984","Titulo","2016-10-17","2021-02-26","327"
"765533683-24","CPF","2007-08-14","2021-04-17","328"
"4543833-7","RG","2011-11-14","2021-04-14","328"
"469887256524","Titulo","2008-04-04","2021-04-25","328"
"323766446-78","CPF","2011-06-09","2021-04-18","329"
"7154566-8","RG","2017-11-24","2021-02-04","329"
"553926397169","Titulo","2007-08-04","2021-01-02","329"
"485884949-66","CPF","2014-01-29","2021-04-23","330"
"6389651-2","RG","2015-08-01","2021-01-02","330"
"477233451727","Titulo","2005-08-25","2021-02-11","330"
"541386355-78","CPF","2008-03-20","2021-03-17","331"
"2693225-7","RG","2006-02-01","2021-02-21","331"
"654323213161","Titulo","2011-05-14","2021-02-22","331"
"225625331-14","CPF","2009-01-07","2021-01-17","332"
"8769481-4","RG","2010-01-06","2021-04-05","332"
"179858844795","Titulo","2007-12-14","2021-01-10","332"
"745573289-86","CPF","2020-02-03","2021-02-07","333"
"9242517-1","RG","2008-09-21","2021-03-04","333"
"985651358848","Titulo","2013-09-30","2021-04-29","333"
"669187864-16","CPF","2012-02-29","2021-04-22","334"
"3644693-7","RG","2009-02-11","2021-04-13","334"
"276274758914","Titulo","2013-03-18","2021-02-01","334"
"227355234-98","CPF","2009-10-22","2021-02-05","335"
"3128788-3","RG","2006-04-27","2021-04-27","335"
"248294361756","Titulo","2019-08-12","2021-04-19","335"
"362788443-35","CPF","2011-03-23","2021-02-21","336"
"2658722-1","RG","2008-01-29","2021-04-19","336"
"295488353255","Titulo","2007-08-21","2021-04-13","336"
"874686767-52","CPF","2010-03-21","2021-01-06","337"
